                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8122,                0.60047,                 1.1368,                0.90712,                0.88789,                0.93741,                0.67311,                0.88877,                0.59435,                 1.2249,             0.00054478,             0.00054478,             0.00054478
                     36,                 0.8241,                0.59883,                 1.1276,                0.90698,                0.95436,                0.96207,                0.76708,                0.64992,                0.44014,                 1.0459,             0.00051177,             0.00051177,             0.00051177
                     37,                0.79702,                0.58887,                 1.1261,                0.92236,                0.94655,                 0.9539,                0.76225,                0.65573,                0.44391,                 1.0492,             0.00047876,             0.00047876,             0.00047876
                     38,                0.77771,                0.57758,                 1.1099,                0.90657,                0.92844,                0.94809,                0.73218,                0.72987,                0.47876,                 1.1152,             0.00044576,             0.00044576,             0.00044576
                     39,                0.79424,                 0.5747,                 1.1161,                0.92156,                0.94375,                0.96269,                0.78532,                0.58799,                0.41457,                  1.018,             0.00041275,             0.00041275,             0.00041275
                     40,                0.76194,                0.55178,                 1.1016,                0.92108,                0.93604,                0.95152,                0.75808,                0.62142,                 0.4199,                 1.0312,             0.00037974,             0.00037974,             0.00037974
                     41,                 0.6989,                0.50069,                 1.0716,                0.94108,                0.93992,                0.97071,                0.77493,                0.60711,                0.41958,                 1.0156,             0.00034674,             0.00034674,             0.00034674
                     42,                0.68739,                0.48283,                 1.0571,                0.92859,                0.94603,                0.97159,                0.77981,                 0.6015,                0.43241,                 1.0109,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.6768,                0.47189,                 1.0527,                 0.9267,                0.94468,                0.96495,                0.77532,                0.59277,                0.40878,                 1.0113,             0.00028072,             0.00028072,             0.00028072
                     44,                0.66132,                0.46514,                 1.0278,                0.91627,                0.94234,                0.97124,                0.76236,                0.61226,                0.41963,                 1.0352,             0.00024772,             0.00024772,             0.00024772
                     45,                0.65535,                 0.4644,                  1.041,                0.93508,                0.94374,                0.97502,                0.78028,                0.60742,                0.40156,                 1.0207,             0.00021471,             0.00021471,             0.00021471
                     46,                0.64763,                0.45614,                 1.0392,                0.94769,                0.95051,                0.97373,                0.79658,                0.55522,                0.37422,                0.98541,              0.0001817,              0.0001817,              0.0001817
                     47,                0.64225,                  0.446,                 1.0313,                0.93538,                0.95706,                0.97342,                0.80297,                0.55504,                 0.3715,                0.98805,              0.0001487,              0.0001487,              0.0001487
                     48,                0.62819,                0.44413,                 1.0261,                0.94504,                 0.9547,                0.97467,                0.80296,                0.54186,                0.37068,                0.97109,             0.00011569,             0.00011569,             0.00011569
                     49,                0.62344,                0.43845,                 1.0176,                0.95267,                 0.9557,                0.97627,                0.80954,                0.52435,                0.36701,                 0.9659,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.61539,                0.42962,                 1.0204,                 0.9441,                0.95334,                0.97567,                0.81487,                0.51767,                 0.3639,                0.96351,             4.9677e-05,             4.9677e-05,             4.9677e-05
